id,name,time,other names,类型
A518,剑风传奇 黄金时代篇I 霸王之卵,none,['BERSERK'],"['3D', '奇幻', '战斗', '热血', '动作']"
A519,魔法使光之美少女！,['2016年2月7日'],['法Q'],"['百合', '恋爱', '奇幻']"
A520,第一神拳 New Challenger,['2009年1月6日'],['第一神拳 第二季'],"['热血', '战斗', '搞笑', '励志']"
A521,机动战士高达 剧场版III 相逢在宇宙,none,['机动战士高达 剧场版Ⅲ 相逢在宇宙'],"['科幻', '机战', '热血']"
A522,不可思议的教室,['2005年7月3日'],['Pani Poni Dash!'],"['校园', '搞笑', '日常']"
A523,约定的梦幻岛,['2019年1月10日'],['The Promised Neverland'],"['悬疑', '冒险', '奇幻', '猎奇', '致郁', '热血']"
A524,恶魔阿萨谢尔在召唤你,none,['召唤恶魔'],['搞笑']
A525,BEASTARS,['2019年10月9日'],['ビースターズ'],"['3D', '恋爱', '校园', '奇幻', '悬疑']"
A526,擅长捉弄的高木同学 第二季,['2019年7月7日'],['からかい上手の高木さん2'],"['恋爱', '搞笑', '校园', '日常', '治愈', '青春']"
A527,翼神传说,['2002年1月21日'],['拉西风'],"['科幻', '机战']"
A528,剧场版 白箱,none,none,"['励志', '职场', '治愈', '青春']"
A529,他和她的故事,['1998年10月2日'],['彼氏彼女的故事'],"['搞笑', '校园', '恋爱']"
A530,光之美少女全明星DX3 传达到未来！连结世界☆彩虹之花！,none,['光之美少女 All Stars DX3 傳達到未來！連結世界☆彩虹之花！'],['百合']
A531,路人女主的养成方法 Fine,none,['路人女主的养成方法 剧场版'],"['恋爱', '后宫', '校园', '青春', '搞笑']"
A532,黑塔利亚 第2期,['2009年7月27日'],none,"['搞笑', '欢乐', 'BL', '治愈', '萌']"
A533,兽爪,['2006年8月5日'],['Kemonozume'],"['猎奇', '爱情', '科幻', '恋爱', '奇幻']"
A534,和巴什尔跳华尔兹,none,['Waltz With Bashir'],[]
A535,幻想嘉年华,none,['TAKE MOON'],['搞笑']
A536,猫物语（黑）,['2012年12月31日'],['猫物語 黒'],"['后宫', '奇幻', '恋爱']"
A537,灌篮高手 全国制霸吧！樱木花道,none,['灌篮高手 剧场版2'],"['热血', '搞笑', '运动']"
A538,银翼杀手：2022大断电,['2017年9月27日'],['银翼杀手：2022黑暗浩劫'],"['科幻', '战斗', '动作']"
A539,北斗神拳,['1984年10月4日'],['世紀末救世主伝説 北斗の拳'],"['热血', '战斗']"
A540,Fate/stay night [Heaven's Feel] I.presage flower,none,['命运守护之夜：宛若天堂'],"['奇幻', '战斗', '热血', '恋爱']"
A541,星界的战旗III,none,none,"['科幻', '恋爱', '爱情']"
A542,终物语,['2015年10月3日'],none,"['后宫', '奇幻', '恋爱', '校园']"
A543,棋魂特别篇 迈向北斗杯之路,['2004年1月3日'],none,"['热血', '励志', '运动']"
A544,闪电十一人,['2008年10月5日'],none,"['子供向', '热血', '运动']"
A545,校园迷糊大王 一学期补习,none,['校园迷糊大王OVA'],"['校园', '搞笑', '欢乐', '恋爱', '日常']"
A546,小魔女学园,['2017年1月8日'],['Little Witch Academia'],"['奇幻', '百合', '搞笑', '校园', '治愈', '战斗', '热血', '励志', '日常']"
A547,命运石之门 负荷领域的既视感,none,['Steins;Gate 剧场版'],"['科幻', '恋爱', '穿越']"
A548,电影 STAR☆TWINKLE 光之美少女 满怀想念的星之歌,none,none,"['百合', '子供向']"
A549,剧场版 紫罗兰永恒花园,none,['VIOLET EVERGARDEN the Movie'],"['治愈', '奇幻']"
A550,小魔女DoReMi ♯,['2000年2月6日'],['おジャ魔女どれみ#'],"['校园', '搞笑']"
A551,阿凡提的故事,['1980'],['نەسىرىدىن ئەپەندى هىكاىيلىرى'],['搞笑']
A552,犬夜叉,['2000年10月16日'],['那狗·那井·那女人'],"['穿越', '爱情', '战斗', '恋爱', '热血', '奇幻']"
A553,茄子 安达鲁西亚之夏,none,['茄子·安达卢西亚之夏'],"['青春', '治愈', '运动', '热血']"
A554,小魔女学园 魔法游行,none,['Little Witch Academia The Enchanted Parade'],"['奇幻', '校园', '百合', '搞笑']"
A555,天才嘉年华,none,['创世峰会'],[]
A556,头脑特工队,none,['头脑大作战'],"['3D', '搞笑', '治愈']"
A557,GOTCHA！,['2020年9月29日'],none,[]
A558,钻石王牌 第二季,['2015年4月6日'],['ダイヤのA セカンドシーズン'],"['热血', '运动', '校园']"
A559,阿尔卑斯山的少女,['1974年1月6日'],['飘零燕'],"['治愈', '子供向']"
A560,宇宙战舰大和号2199 第三章「无尽的航海」,none,['宇宙战舰大和号2199 第三章'],"['科幻', '后宫']"
A561,宇宙战舰大和号2199 第五章「望乡的银河间空间」,none,['宇宙战舰大和号2199 第五章'],['科幻']
A562,平成狸合战,none,['総天然色漫画映画\u3000平成狸合戦ぽんぽこ'],"['奇幻', '搞笑']"
A563,南方公园 第11季,['2007年3月7日'],none,['搞笑']
A564,奔向地球,['2007年4月7日'],['Toward the Terra'],['科幻']
A565,迷糊餐厅 第二季,['2011年10月1日'],none,"['搞笑', '日常', '恋爱', '欢乐', '治愈', '萌']"
A566,东之伊甸,['2009年4月9日'],none,"['科幻', '悬疑']"
A567,高智能方程式：ZERO,none,['Cyber Formula ZERO'],"['热血', '科幻']"
A568,境界线上的地平线 第二季,['2012年7月7日'],['境界線上のホライゾンⅡ'],"['搞笑', '战斗', '科幻', '奇幻']"
A569,第四届东方M-1漫才大赛,none,none,"['搞笑', '百合', '奇幻']"
A570,城市猎人,['1987年4月6日'],none,"['热血', '搞笑']"
A571,昭和元禄落语心中 OAD,none,['昭和元禄落語心中 OAD'],['治愈']
A572,向阳素描×☆☆☆ 特别篇,none,none,"['治愈', '百合', '日常', '萌', '校园', '搞笑']"
A573,剧场版 精灵宝可梦：超梦的逆袭,none,['神奇寶貝电影版：超梦の逆袭'],"['战斗', '奇幻']"
A574,花田少年史,['2002年10月1日'],['はなだしょうねんし'],"['治愈', '催泪', '奇幻', '搞笑']"
A575,飞跃巅峰！飞跃巅峰2！合体剧场版,none,['Gunbuster Diebuster The Movie'],"['百合', '科幻', '机战', '热血']"
A576,DARKER THAN BLACK -黑之契约者- 外传,none,none,"['战斗', '奇幻', '科幻', '热血']"
A577,避难所,['2016年10月18日'],['庇护所'],"['科幻', '治愈']"
A578,猫怪麦克,['1988-04-15'],['俏皮猫'],"['搞笑', '子供向']"
A579,请问您今天要来点兔子吗？BLOOM,['2020年10月10日'],['Is the Order a Rabbit? BLOOM'],"['百合', '日常', '萌', '治愈']"
A580,来玩游戏吧,['2018年7月8日'],['游戏3人娘'],"['搞笑', '日常', '校园', '百合']"
A581,魔法少女奈叶 The MOVIE 1st,none,none,"['百合', '战斗', '奇幻']"
A582,蝙蝠侠：黑暗骑士归来（下）,none,"['Batman: The Dark Knight Returns, Part 2']","['科幻', '动作', '冒险']"
A583,某科学的超电磁炮T,['2020年1月10日'],['科学超电磁炮T'],"['校园', '战斗', '百合', '科幻', '奇幻', '热血']"
A584,飞出个未来 第2季,['1999-09-26'],['乃出个未来 第2季'],"['科幻', '搞笑']"
A585,海绵宝宝第一季,['1999-05-01'],none,"['搞笑', '日常']"
A586,少女与战车,['2012年10月8日'],['ガルパン'],"['百合', '搞笑', '萌', '战斗', '校园', '热血']"
A587,高达创战者,['2013年10月7日'],['高达创斗者'],"['机战', '热血', '科幻']"
A588,樱兰高校男公关部,['2006年4月4日'],['欢迎光临樱兰高校'],"['后宫', '搞笑', '校园', '恋爱']"
